Date,Share Price,NAV,Discount
04/05/2023,$23.59 ,$22.43 ,5.17%
04/04/2023,$23.90 ,$22.56 ,5.94%
04/03/2023,$23.91 ,$22.60 ,5.80%
3/31/2023 ,$23.94 ,$22.60 ,5.93%
3/30/2023 ,$23.65 ,$22.35 ,5.82%
3/29/2023 ,$23.43 ,$22.24 ,5.35%
3/28/2023 ,$23.14 ,$21.96 ,5.37%
3/27/2023 ,$23.28 ,$22.01 ,5.77%
3/24/2023 ,$23.25 ,$22.07 ,5.35%
3/23/2023 ,$23.39 ,$22.05 ,6.08%
3/22/2023 ,$23.14 ,$21.87 ,5.81%
3/21/2023 ,$23.35 ,$22.07 ,5.80%
3/20/2023 ,$22.91 ,$21.81 ,5.04%
3/17/2023 ,$22.90 ,$21.75 ,5.29%
3/16/2023 ,$22.98 ,$21.88 ,5.03%
3/15/2023 ,$22.62 ,$21.45 ,5.45%
3/14/2023 ,$23.01 ,$21.39 ,7.57%
3/13/2023 ,$23.04 ,$21.31 ,8.12%
03/10/2023,$22.76 ,$21.19 ,7.41%
03/09/2023,$22.94 ,$21.44 ,7.00%
03/08/2023,$23.30 ,$21.73 ,7.23%
03/07/2023,$23.41 ,$21.64 ,8.18%
03/06/2023,$23.72 ,$21.84 ,8.61%
03/03/2023,$23.72 ,$21.81 ,8.76%
03/02/2023,$23.23 ,$21.46 ,8.25%
03/01/2023,$23.21 ,$21.30 ,8.97%
2/28/2023 ,$23.22 ,$21.44 ,8.30%
2/27/2023 ,$23.16 ,$21.42 ,8.12%
2/24/2023 ,$22.93 ,$21.28 ,7.75%
2/23/2023 ,$23.17 ,$21.59 ,7.32%
2/22/2023 ,$22.81 ,$21.38 ,6.69%
2/21/2023 ,$22.71 ,$21.36 ,6.32%
2/17/2023 ,$23.01 ,$21.79 ,5.60%
2/16/2023 ,$23.50 ,$21.85 ,7.53%
2/15/2023 ,$23.98 ,$22.03 ,8.85%
2/14/2023 ,$23.80 ,$21.96 ,8.38%
2/13/2023 ,$23.70 ,$21.87 ,8.37%
02/10/2023,$23.34 ,$21.72 ,7.46%
02/09/2023,$23.34 ,$21.77 ,7.21%
02/08/2023,$23.40 ,$21.88 ,6.92%
02/07/2023,$23.52 ,$22.09 ,6.47%
02/06/2023,$22.94 ,$21.85 ,4.99%
02/03/2023,$23.35 ,$21.96 ,6.33%
02/02/2023,$23.66 ,$22.19 ,6.62%
02/01/2023,$23.10 ,$21.59 ,6.99%
1/31/2023 ,$22.66 ,$21.44 ,5.69%
1/30/2023 ,$22.20 ,$21.18 ,4.82%
1/27/2023 ,$22.68 ,$21.45 ,5.73%
1/26/2023 ,$22.62 ,$21.33 ,6.05%
1/25/2023 ,$22.41 ,$21.08 ,6.31%
1/24/2023 ,$22.48 ,$21.06 ,6.74%
1/23/2023 ,$22.58 ,$21.16 ,6.71%
1/20/2023 ,$22.27 ,$20.94 ,6.35%
1/19/2023 ,$21.98 ,$20.38 ,7.85%
1/18/2023 ,$22.30 ,$20.51 ,8.73%
1/17/2023 ,$22.45 ,$20.66 ,0.00%
1/13/2023 ,$22.52 ,$20.60 ,9.32%
01/12/2023,$22.56 ,$20.48 ,10.16%
01/11/2023,$22.33 ,$20.36 ,9.68%
01/10/2023,$21.80 ,$20.06 ,8.67%
01/09/2023,$21.41 ,$19.89 ,7.64%
01/06/2023,$21.06 ,$19.76 ,6.58%
01/05/2023,$20.70 ,$19.29 ,7.31%
01/04/2023,$21.26 ,$19.59 ,8.52%
01/03/2023,$20.98 ,$19.51 ,7.53%
12/29/2022 ,$20.18 ,$19.63 ,2.80%
12/28/2022 ,$20.00 ,$19.18 ,4.28%
12/27/2022 ,$20.14 ,$19.41 ,3.76%
12/23/2022 ,$20.45 ,$19.67 ,3.97%
12/22/2022 ,$20.52 ,$19.61 ,4.64%
12/21/2022 ,$20.99 ,$20.02 ,4.85%
12/20/2022 ,$20.77 ,$19.76 ,5.11%
