Date,Share Price,NAV,Discount
11/14/2023 ,$16.39 ,$20.44 ,-19.81%
11/13/2023 ,$16.09 ,$20.08 ,-19.87%
11/10/2023,$15.95 ,$20.08 ,-20.57%
11/09/2023,$15.69 ,$19.82 ,-20.84%
11/08/2023,$15.73 ,$19.94 ,-21.11%
11/07/2023,$15.73 ,$19.86 ,-20.80%
11/06/2023,$15.56 ,$19.72 ,-21.10%
11/03/2023,$15.76 ,$19.74 ,-20.16%
11/02/2023,$15.32 ,$19.46 ,-21.27%
11/01/2023,$14.75 ,$19.14 ,-22.94%
10/31/2023 ,$14.44 ,$19.03 ,-24.12%
10/30/2023 ,$14.28 ,$19.03 ,-24.96%
10/27/2023 ,$14.16 ,$19.00 ,-25.47%
10/26/2023 ,$14.22 ,$19.00 ,-25.16%
10/25/2023 ,$14.41 ,$19.30 ,-25.34%
10/24/2023 ,$14.76 ,$19.60 ,-24.69%
10/23/2023 ,$14.71 ,$19.47 ,-24.45%
10/20/2023 ,$14.75 ,$19.48 ,-24.28%
10/19/2023 ,$14.93 ,$19.74 ,-24.37%
10/18/2023 ,$15.23 ,$19.92 ,-23.54%
10/17/2023 ,$15.63 ,$20.27 ,-22.89%
10/16/2023 ,$15.84 ,$20.31 ,-22.01%
10/13/2023 ,$15.69 ,$20.18 ,-22.25%
10/12/2023,$16.11 ,$20.59 ,-21.76%
10/11/2023,$16.28 ,$20.69 ,-21.31%
10/10/2023,$16.22 ,$20.64 ,-21.41%
10/09/2023,$16.20 ,$20.51 ,-21.01%
10/06/2023,$16.22 ,$20.51 ,-20.92%
10/05/2023,$16.10 ,$20.23 ,-20.42%
10/04/2023,$16.18 ,$20.23 ,-20.02%
10/03/2023,$16.14 ,$20.04 ,-19.46%
10/02/2023,$16.53 ,$20.36 ,-18.81%
9/29/2023 ,$16.50 ,$20.33 ,-18.84%
9/28/2023 ,$16.42 ,$20.07 ,-18.19%
9/27/2023 ,$16.30 ,$20.02 ,-18.58%
9/26/2023 ,$16.23 ,$20.02 ,-18.93%
9/25/2023 ,$16.48 ,$20.22 ,-18.50%
9/22/2023 ,$16.48 ,$20.22 ,-18.50%
9/21/2023 ,$16.35 ,$20.50 ,-20.24%
9/20/2023 ,$16.64 ,$20.50 ,-18.83%
9/19/2023 ,$16.61 ,$20.71 ,-19.80%
9/18/2023 ,$16.66 ,$20.59 ,-19.09%
9/15/2023 ,$16.56 ,$20.68 ,-19.92%
9/14/2023 ,$16.82 ,$20.93 ,-19.64%
9/13/2023 ,$16.96 ,$20.96 ,-19.08%
09/12/2023,$16.85 ,$20.98 ,-19.69%
09/11/2023,$17.20 ,$21.06 ,-18.33%
09/08/2023,$17.50 ,$20.99 ,-16.63%
09/07/2023,$17.53 ,$21.06 ,-16.76%
09/06/2023,$17.73 ,$21.25 ,-16.56%
09/05/2023,$17.92 ,$21.37 ,-16.14%
09/01/2023,$17.95 ,$21.31 ,-15.77%
8/31/2023 ,$17.70 ,$21.29 ,-16.86%
8/30/2023 ,$17.43 ,$21.08 ,-17.31%
8/29/2023 ,$17.36 ,$20.71 ,-16.18%
8/28/2023 ,$17.09 ,$20.48 ,-16.55%
8/25/2023 ,$17.13 ,$20.33 ,-15.74%
8/24/2023 ,$17.05 ,$20.40 ,-16.42%
8/23/2023 ,$17.45 ,$20.68 ,-15.62%
8/22/2023 ,$17.20 ,$20.42 ,-15.77%
8/21/2023 ,$17.20 ,$20.40 ,-15.69%
8/18/2023 ,$16.99 ,$20.07 ,-15.35%
8/17/2023 ,$17.07 ,$20.14 ,-15.24%
8/16/2023 ,$17.36 ,$20.45 ,-15.11%
8/15/2023 ,$17.57 ,$20.63 ,-14.83%
8/14/2023 ,$17.82 ,$20.83 ,-14.45%
08/11/2023,$18.01 ,$20.88 ,-13.75%
08/10/2023,$18.23 ,$21.02 ,-13.27%
08/09/2023,$18.38 ,$21.11 ,-12.93%
08/08/2023,$18.49 ,$21.31 ,-13.23%
08/07/2023,$18.41 ,$21.59 ,-14.73%
08/04/2023,$18.36 ,$21.46 ,-14.45%
08/03/2023,$18.47 ,$21.49 ,-14.05%
08/02/2023,$18.61 ,$21.48 ,-13.36%
7/31/2023 ,$18.67 ,$22.00 ,-15.14%
7/28/2023 ,$18.43 ,$21.98 ,-16.15%
7/27/2023 ,$18.23 ,$21.66 ,-15.84%
7/26/2023 ,$18.33 ,$21.74 ,-15.69%
7/25/2023 ,$18.28 ,$21.72 ,-15.84%
7/24/2023 ,$18.19 ,$21.70 ,-16.18%
7/21/2023 ,$18.36 ,$21.67 ,-15.27%
7/20/2023 ,$18.29 ,$21.80 ,-16.10%
7/19/2023 ,$18.60 ,$22.12 ,-15.91%
7/18/2023 ,$18.60 ,$22.14 ,-15.99%
7/17/2023 ,$18.54 ,$22.01 ,-15.77%
7/14/2023 ,$18.51 ,$21.88 ,-15.40%
7/13/2023 ,$18.61 ,$21.91 ,-15.06%
07/12/2023,$18.55 ,$21.71 ,-14.56%
07/11/2023,$18.24 ,$21.38 ,-14.69%
07/10/2023,$18.29 ,$21.38 ,-14.45%
07/07/2023,$18.15 ,$21.27 ,-14.67%
07/06/2023,$17.89 ,$21.21 ,-15.65%
07/05/2023,$18.29 ,$21.45 ,-14.73%
07/03/2023,$18.28 ,$21.56 ,-15.21%
6/30/2023 ,$18.11 ,$21.50 ,-15.77%
6/29/2023 ,$17.90 ,$21.32 ,-16.04%
6/28/2023 ,$17.84 ,$21.24 ,-16.01%
6/27/2023 ,$17.78 ,$21.21 ,-16.17%
6/26/2023 ,$17.59 ,$20.97 ,-16.12%
6/23/2023 ,$17.69 ,$21.13 ,-16.28%
6/22/2023 ,$17.94 ,$21.33 ,-15.89%
6/20/2023 ,$17.85 ,$21.57 ,-17.25%
6/16/2023 ,$17.95 ,$21.62 ,-16.98%
6/15/2023 ,$17.92 ,$21.61 ,-17.08%
6/14/2023 ,$17.99 ,$21.48 ,-16.25%
6/13/2023 ,$18.23 ,$21.37 ,-14.69%
06/12/2023,$18.10 ,$21.37 ,-15.30%
06/09/2023,$17.79 ,$21.12 ,-15.77%
06/08/2023,$17.79 ,$21.06 ,-15.53%
06/07/2023,$17.75 ,$21.01 ,-15.52%
06/06/2023,$17.96 ,$21.10 ,-14.88%
06/05/2023,$17.88 ,$21.03 ,-14.98%
