Date,Share Price,NAV,Discount
3/24/2023 ,$31.35 ,$31.11 ,0.77%
3/23/2023 ,$31.80 ,$31.21 ,1.89%
3/22/2023 ,$31.23 ,$31.00 ,0.74%
3/21/2023 ,$31.75 ,$31.13 ,1.99%
3/20/2023 ,$31.32 ,$30.82 ,1.62%
3/17/2023 ,$31.22 ,$30.80 ,1.36%
3/16/2023 ,$31.56 ,$30.84 ,2.33%
3/15/2023 ,$30.89 ,$30.32 ,1.88%
3/14/2023 ,$31.21 ,$30.47 ,2.43%
3/13/2023 ,$31.31 ,$30.26 ,3.47%
03/10/2023,$31.78 ,$30.72 ,3.45%
03/09/2023,$31.52 ,$30.72 ,2.60%
03/08/2023,$32.10 ,$31.19 ,2.92%
03/07/2023,$31.81 ,$31.07 ,2.38%
03/06/2023,$32.30 ,$31.36 ,3.00%
03/03/2023,$32.38 ,$31.34 ,3.32%
03/02/2023,$31.86 ,$30.87 ,3.21%
03/01/2023,$31.48 ,$30.70 ,2.54%
2/28/2023 ,$31.45 ,$30.82 ,2.04%
2/27/2023 ,$31.48 ,$30.81 ,2.17%
2/24/2023 ,$31.21 ,$30.70 ,1.66%
2/23/2023 ,$31.35 ,$31.11 ,0.77%
2/22/2023 ,$31.37 ,$30.81 ,1.82%
2/21/2023 ,$31.48 ,$30.88 ,1.94%
2/17/2023 ,$32.06 ,$31.43 ,2.00%
2/16/2023 ,$32.31 ,$31.75 ,1.76%
2/15/2023 ,$33.17 ,$32.02 ,3.59%
2/14/2023 ,$32.81 ,$32.03 ,2.44%
2/13/2023 ,$32.77 ,$32.04 ,2.28%
02/10/2023,$32.43 ,$31.76 ,2.12%
02/09/2023,$32.81 ,$31.95 ,2.69%
02/08/2023,$32.91 ,$32.27 ,1.98%
02/07/2023,$33.38 ,$32.27 ,3.44%
02/06/2023,$32.62 ,$31.87 ,2.35%
02/03/2023,$33.13 ,$32.08 ,3.27%
02/02/2023,$34.12 ,$32.41 ,5.28%
02/01/2023,$33.80 ,$31.87 ,6.06%
1/31/2023 ,$33.17 ,$31.33 ,5.87%
1/30/2023 ,$33.11 ,$31.00 ,6.81%
1/27/2023 ,$33.57 ,$31.98 ,4.97%
1/26/2023 ,$33.17 ,$31.68 ,4.70%
1/25/2023 ,$32.39 ,$31.43 ,3.05%
1/24/2023 ,$32.27 ,$31.46 ,2.57%
1/23/2023 ,$32.24 ,$31.29 ,3.04%
1/20/2023 ,$31.68 ,$30.67 ,3.29%
1/19/2023 ,$31.10 ,$30.19 ,3.01%
1/18/2023 ,$31.34 ,$30.44 ,2.96%
1/17/2023 ,$31.64 ,$30.58 ,0.00%
1/13/2023 ,$31.45 ,$30.47 ,3.22%
01/12/2023,$31.49 ,$30.23 ,4.17%
01/11/2023,$31.57 ,$30.26 ,4.33%
