Date,Share Price,NAV,Discount
4/14/2023 ,$17.28 ,$19.23 ,-10.14%
4/13/2023 ,$17.35 ,$19.29 ,-10.06%
04/12/2023,$17.32 ,$19.08 ,-9.22%
04/11/2023,$17.37 ,$19.28 ,-9.91%
04/10/2023,$17.27 ,$19.24 ,-10.24%
04/06/2023,$16.96 ,$19.18 ,-11.57%
04/05/2023,$16.99 ,$19.18 ,-11.42%
04/04/2023,$17.21 ,$19.32 ,-10.92%
04/03/2023,$17.36 ,$19.46 ,-10.79%
3/31/2023 ,$17.40 ,$19.46 ,-10.59%
3/30/2023 ,$16.96 ,$19.19 ,-11.62%
3/29/2023 ,$16.80 ,$19.06 ,-11.86%
3/28/2023 ,$16.55 ,$18.82 ,-12.06%
3/27/2023 ,$16.67 ,$18.86 ,-11.61%
3/24/2023 ,$16.62 ,$18.79 ,-11.55%
3/23/2023 ,$16.75 ,$18.90 ,-11.38%
3/22/2023 ,$16.71 ,$18.82 ,-11.21%
3/21/2023 ,$16.77 ,$19.03 ,-11.88%
3/20/2023 ,$16.48 ,$18.74 ,-12.06%
3/17/2023 ,$16.35 ,$18.59 ,-12.05%
3/16/2023 ,$16.59 ,$18.77 ,-11.61%
3/15/2023 ,$16.33 ,$18.48 ,-11.63%
3/14/2023 ,$16.61 ,$18.74 ,-11.37%
3/13/2023 ,$16.34 ,$18.50 ,-11.68%
03/10/2023,$16.46 ,$18.57 ,-11.36%
03/09/2023,$17.12 ,$19.03 ,-10.04%
03/08/2023,$17.29 ,$19.36 ,-10.69%
03/07/2023,$17.21 ,$19.34 ,-11.01%
03/06/2023,$17.43 ,$19.55 ,-10.84%
03/03/2023,$17.43 ,$19.58 ,-10.98%
03/02/2023,$17.34 ,$19.35 ,-10.39%
03/01/2023,$17.23 ,$19.27 ,-10.59%
2/28/2023 ,$17.12 ,$19.24 ,-11.02%
2/27/2023 ,$17.13 ,$19.27 ,-11.11%
2/24/2023 ,$17.08 ,$19.22 ,-11.13%
2/23/2023 ,$17.09 ,$19.43 ,-12.04%
2/22/2023 ,$16.99 ,$19.32 ,-12.06%
2/21/2023 ,$16.92 ,$19.31 ,-12.38%
2/17/2023 ,$17.31 ,$19.65 ,-11.91%
2/16/2023 ,$17.44 ,$19.76 ,-11.74%
2/15/2023 ,$17.77 ,$20.03 ,-11.28%
2/14/2023 ,$17.55 ,$19.97 ,-12.12%
2/13/2023 ,$17.40 ,$19.88 ,-12.47%
02/10/2023,$17.38 ,$19.70 ,-11.78%
02/09/2023,$17.43 ,$19.91 ,-12.46%
02/08/2023,$17.43 ,$19.96 ,-12.68%
02/07/2023,$17.46 ,$20.07 ,-13.00%
02/06/2023,$17.36 ,$19.87 ,-12.63%
02/03/2023,$17.63 ,$20.01 ,-11.89%
02/02/2023,$17.98 ,$20.22 ,-11.08%
02/01/2023,$17.67 ,$20.11 ,-12.13%
1/31/2023 ,$17.42 ,$19.92 ,-12.55%
1/30/2023 ,$17.20 ,$19.71 ,-12.73%
1/27/2023 ,$17.34 ,$19.91 ,-12.91%
1/26/2023 ,$17.32 ,$19.94 ,-13.14%
1/25/2023 ,$17.12 ,$19.80 ,-13.54%
1/24/2023 ,$17.10 ,$19.76 ,-13.46%
1/23/2023 ,$17.14 ,$19.79 ,-13.39%
1/20/2023 ,$16.90 ,$19.60 ,-13.78%
1/19/2023 ,$16.68 ,$19.35 ,-13.80%
1/18/2023 ,$17.08 ,$19.70 ,-13.30%
1/17/2023 ,$17.24 ,$19.89 ,0.00%
1/13/2023 ,$17.15 ,$19.90 ,-13.82%
01/12/2023,$17.16 ,$19.81 ,-13.38%
01/11/2023,$17.00 ,$19.72 ,-13.79%
01/10/2023,$16.71 ,$19.54 ,-14.48%
01/09/2023,$16.67 ,$19.41 ,-14.12%
01/06/2023,$16.54 ,$19.30 ,-14.30%
01/05/2023,$16.25 ,$18.95 ,-14.25%
01/04/2023,$16.49 ,$19.12 ,-13.76%
01/03/2023,$16.35 ,$19.02 ,-14.04%
12/29/2022 ,$16.23 ,$19.12 ,-15.12%
12/28/2022 ,$15.96 ,$18.90 ,-15.56%
12/27/2022 ,$16.16 ,$19.09 ,-15.35%
12/23/2022 ,$16.26 ,$19.17 ,-15.18%
12/22/2022 ,$16.38 ,$19.15 ,-14.46%
12/21/2022 ,$16.58 ,$19.40 ,-14.54%
12/20/2022 ,$16.33 ,$19.20 ,-14.95%
12/19/2022 ,$16.37 ,$19.17 ,-14.61%
12/16/2022 ,$16.48 ,$19.31 ,-14.66%
12/15/2022 ,$16.65 ,$19.47 ,-14.48%
12/14/2022 ,$16.99 ,$19.89 ,-14.58%
12/13/2022 ,$17.01 ,$19.96 ,-14.78%
12/12/2022,$16.98 ,$19.82 ,-14.33%
12/09/2022,$16.87 ,$19.59 ,-13.88%
12/08/2022,$17.07 ,$19.86 ,-14.05%
12/07/2022,$16.99 ,$19.68 ,-13.67%
12/06/2022,$16.91 ,$19.69 ,-14.12%
12/05/2022,$17.08 ,$19.88 ,-14.08%
12/02/2022,$17.47 ,$20.16 ,-13.34%
12/01/2022,$17.49 ,$20.18 ,-13.33%
11/30/2022 ,$17.39 ,$20.11 ,-13.53%
11/29/2022 ,$16.74 ,$19.62 ,-14.68%
11/28/2022 ,$16.78 ,$19.62 ,-14.48%
11/25/2022 ,$17.06 ,$19.87 ,-14.14%
11/23/2022 ,$16.83 ,$19.85 ,-14.51%
11/22/2022 ,$16.83 ,$19.74 ,-14.74%
11/21/2022 ,$16.74 ,$19.50 ,-14.15%
11/18/2022 ,$16.93 ,$19.62 ,-13.71%
11/17/2022 ,$16.92 ,$19.49 ,-13.19%
11/16/2022 ,$16.72 ,$19.55 ,-14.48%
11/15/2022 ,$16.89 ,$19.75 ,-14.48%
11/14/2022 ,$16.74 ,$19.55 ,-14.37%
11/11/2022,$17.11 ,$19.65 ,-12.93%
11/10/2022,$16.87 ,$19.59 ,-13.88%
11/09/2022,$16.40 ,$18.95 ,-13.46%
11/08/2022,$16.84 ,$19.24 ,-12.47%
11/07/2022,$16.62 ,$19.07 ,-12.85%
11/04/2022,$16.20 ,$18.94 ,-14.47%
11/03/2022,$16.26 ,$18.76 ,-13.33%
11/02/2022,$16.27 ,$18.93 ,-14.05%
11/01/2022,$16.60 ,$19.27 ,-13.86%
10/31/2022 ,$16.46 ,$19.29 ,-14.67%
10/28/2022 ,$16.40 ,$19.37 ,-15.33%
10/27/2022 ,$16.14 ,$19.04 ,-15.23%
10/26/2022 ,$16.20 ,$19.00 ,-14.74%
10/25/2022 ,$16.30 ,$18.99 ,-14.17%
10/24/2022 ,$16.00 ,$18.73 ,-14.58%
10/21/2022 ,$15.77 ,$18.60 ,-15.22%
10/20/2022 ,$15.50 ,$18.23 ,-14.98%
10/19/2022 ,$15.59 ,$18.26 ,-14.62%
10/18/2022 ,$15.59 ,$18.35 ,-15.04%
10/17/2022 ,$15.50 ,$18.12 ,-14.46%
10/14/2022 ,$15.13 ,$17.75 ,-14.76%
10/13/2022 ,$15.46 ,$18.05 ,-14.35%
10/12/2022,$15.39 ,$17.82 ,-13.64%
10/11/2022,$15.55 ,$18.03 ,-13.75%
10/10/2022,$15.78 ,$18.22 ,-13.39%
10/07/2022,$15.89 ,$18.46 ,-13.92%
10/06/2022,$16.30 ,$18.92 ,-13.85%
10/05/2022,$16.44 ,$18.99 ,-13.43%
10/04/2022,$16.51 ,$18.97 ,-12.97%
10/03/2022,$15.89 ,$18.39 ,-13.59%
9/30/2022 ,$15.58 ,$17.99 ,-13.40%
9/29/2022 ,$15.57 ,$18.15 ,-14.21%
9/28/2022 ,$16.06 ,$18.42 ,-12.81%
9/27/2022 ,$15.58 ,$18.13 ,-14.07%
9/26/2022 ,$15.63 ,$18.06 ,-13.46%
9/23/2022 ,$15.73 ,$18.29 ,-14.00%
9/22/2022 ,$16.21 ,$18.63 ,-12.99%
9/21/2022 ,$16.30 ,$18.95 ,-13.98%
