Date,Share Price,NAV,Discount
1/17/2024 ,$31.09 ,$28.39 ,9.51%
1/16/2024 ,$30.89 ,$28.62 ,7.93%
01/12/2024,$30.80 ,$28.63 ,7.58%
01/11/2024,$30.65 ,$28.65 ,0.00%
01/10/2024,$30.50 ,$28.58 ,6.72%
01/09/2024,$30.20 ,$28.42 ,6.26%
01/08/2024,$29.94 ,$28.49 ,5.09%
01/05/2024,$29.37 ,$27.81 ,5.61%
01/04/2024,$29.43 ,$27.80 ,5.86%
01/03/2024,$29.70 ,$28.01 ,6.03%
01/02/2024,$30.30 ,$28.42 ,6.62%
12/29/2023 ,$31.60 ,$29.05 ,8.78%
12/28/2023 ,$31.91 ,$29.26 ,9.06%
12/27/2023 ,$31.50 ,$29.29 ,7.55%
12/26/2023 ,$31.29 ,$29.33 ,6.68%
12/22/2023 ,$31.13 ,$29.12 ,6.90%
12/21/2023 ,$30.95 ,$29.10 ,6.34%
12/20/2023 ,$30.73 ,$28.61 ,7.41%
12/19/2023 ,$31.07 ,$29.14 ,6.62%
12/18/2023 ,$30.87 ,$28.94 ,6.67%
12/15/2023 ,$31.26 ,$28.87 ,8.28%
12/14/2023 ,$31.40 ,$29.00 ,8.28%
12/13/2023 ,$30.73 ,$28.55 ,7.64%
12/12/2023,$29.88 ,$28.17 ,6.07%
12/11/2023,$29.55 ,$28.09 ,5.20%
12/08/2023,$29.90 ,$27.68 ,8.02%
12/07/2023,$30.26 ,$27.50 ,10.04%
12/06/2023,$30.08 ,$27.11 ,10.96%
12/05/2023,$30.59 ,$27.28 ,12.13%
12/04/2023,$30.92 ,$27.46 ,12.60%
12/01/2023,$31.29 ,$27.68 ,13.04%
11/30/2023 ,$31.14 ,$27.48 ,13.32%
11/29/2023 ,$30.99 ,$27.50 ,12.69%
11/28/2023 ,$30.82 ,$27.27 ,13.02%
11/27/2023 ,$30.79 ,$27.27 ,12.91%
11/24/2023 ,$30.88 ,$27.29 ,13.16%
11/22/2023 ,$30.65 ,$27.25 ,12.48%
11/21/2023 ,$30.30 ,$26.95 ,12.43%
11/20/2023 ,$29.95 ,$27.16 ,10.27%
11/17/2023 ,$29.55 ,$26.82 ,10.18%
11/16/2023 ,$28.92 ,$26.71 ,8.27%
11/15/2023 ,$29.42 ,$26.79 ,9.82%
11/14/2023 ,$28.98 ,$26.63 ,8.82%
11/13/2023 ,$28.39 ,$26.10 ,8.77%
11/10/2023,$28.60 ,$26.22 ,9.08%
11/09/2023,$28.65 ,$26.23 ,9.23%
11/08/2023,$28.98 ,$26.27 ,10.32%
11/07/2023,$28.83 ,$26.17 ,10.15%
11/06/2023,$28.25 ,$26.09 ,8.28%
11/03/2023,$28.17 ,$26.10 ,7.93%
11/02/2023,$27.52 ,$25.76 ,6.83%
11/01/2023,$25.94 ,$25.33 ,2.41%
10/31/2023 ,$25.42 ,$25.16 ,1.03%
10/30/2023 ,$25.24 ,$24.94 ,1.20%
10/27/2023 ,$25.18 ,$24.88 ,1.21%
10/26/2023 ,$25.31 ,$24.93 ,1.52%
