Date,Share Price,NAV,Discount (%)
2023-07-28,$34.94 ,$34.79 ,-0.00436
2023-08-04,$33.91 ,$34.01 ,0.0012749999999999999
2023-08-11,$33.58 ,$33.13 ,0.01562
2023-08-18,$31.90 ,$31.97 ,0.00408
2023-08-25,$32.12 ,$32.39 ,-0.00782
2023-09-01,$33.59 ,$33.69 ,-0.00358
2023-09-08,$33.22 ,$33.25 ,-0.004575
2023-09-15,$31.82 ,$32.66 ,-0.018179999999999998
2023-09-22,$31.00 ,$31.67 ,-0.02782
2023-09-29,$31.41 ,$31.72 ,-0.01514
2023-10-06,$32.42 ,$32.25 ,-0.003
2023-10-13,$31.71 ,$31.91 ,0.0029400000000000003
2023-10-20,$30.51 ,$30.94 ,-0.010960000000000001
2023-10-27,$29.84 ,$30.23 ,-0.014099999999999998
2023-11-03,$33.11 ,$31.91 ,0.0144
2023-11-10,$33.10 ,$32.83 ,0.02622
2023-11-17,$33.87 ,$33.43 ,0.0093
2023-11-24,$33.77 ,$33.74 ,0.0058
2023-12-01,$34.08 ,$33.80 ,0.00864
2023-12-08,$34.14 ,$33.93 ,0.006899999999999999
2023-12-15,$33.92 ,$34.44 ,0.0020399999999999997
2023-12-22,$34.27 ,$34.63 ,-0.01244
2023-12-29,$33.66 ,$34.70 ,-0.02185
2024-01-05,$33.17 ,$33.83 ,-0.0264
2024-01-12,$34.37 ,$34.60 ,-0.00902
2024-01-19,$34.58 ,$35.38 ,-0.0158
2024-01-26,$35.50 ,$35.64 ,-0.01816
2024-02-02,$35.82 ,$36.02 ,0.005019999999999999
2024-02-09,$37.28 ,$36.98 ,0.00476
2024-02-16,$36.67 ,$36.39 ,0.021660000000000002
2024-02-23,$36.57 ,$36.70 ,-9.999999999999983e-05
2024-03-01,$37.25 ,$37.16 ,0.00634
2024-03-08,$37.27 ,$36.79 ,0.00588
2024-03-15,$36.14 ,$36.12 ,0.005339999999999999
2024-03-22,$36.93 ,$37.06 ,-0.00682
2024-03-29,$36.82 ,$36.91 ,-0.0026999999999999997
2024-04-05,$36.10 ,$36.88 ,-0.019899999999999998
2024-04-12,$35.38 ,$36.43 ,-0.0274
2024-04-19,$32.97 ,$33.96 ,-0.0328
2024-04-26,$34.91 ,$35.46 ,-0.017099999999999997
2024-05-03,$35.56 ,$35.63 ,-0.00132
2024-05-10,$36.05 ,$36.15 ,0.00266
2024-05-17,$36.04 ,$36.68 ,-0.006539999999999999
2024-05-24,$36.53 ,$37.40 ,-0.013240000000000002
2024-05-31,$36.42 ,$36.96 ,-0.022275
2024-06-07,$36.83 ,$37.80 ,-0.02228
2024-06-14,$37.62 ,$38.96 ,-0.0328
2024-06-21,$37.26 ,$38.89 ,-0.040150000000000005
2024-06-28,$37.27 ,$38.98 ,-0.04865
2024-07-05,$38.40 ,$39.92 ,-0.037200000000000004
2024-07-12,$38.55 ,$39.80 ,-0.034440000000000005
2024-07-19,$35.63 ,$37.62 ,-0.04718
2024-07-26,$34.94 ,$36.81 ,-0.05134
2024-08-02,$34.16 ,$35.46 ,-0.034839999999999996
2024-08-09,$34.61 ,$35.67 ,-0.0335
2024-08-16,$34.68 ,$37.45 ,-0.06362000000000001
2024-08-23,$35.26 ,$37.77 ,-0.0684
2024-08-30,$35.21 ,$37.27 ,-0.05789999999999999
2024-09-06,$33.55 ,$35.06 ,-0.048575
2024-09-13,$34.63 ,$37.24 ,-0.06766
2024-09-20,$34.78 ,$37.38 ,-0.06682
2024-09-27,$35.01 ,$37.90 ,-0.07828
2024-10-04,$35.65 ,$37.74 ,-0.0598
2024-10-11,$36.81 ,$38.51 ,-0.04508
2024-10-18,$36.81 ,$38.27 ,-0.03974
2024-10-25,$36.36 ,$38.40 ,-0.0434
2024-11-01,$35.66 ,$37.57 ,-0.0564
