Date,Share Price,NAV,Discount (%)
2023-03-03,$23.72 ,$21.81 ,0.0848
2023-03-10,$22.76 ,$21.19 ,0.07686
2023-03-17,$22.90 ,$21.75 ,0.06292
2023-03-24,$23.25 ,$22.07 ,0.05616
2023-03-31,$23.94 ,$22.60 ,0.056479999999999995
2023-04-07,$23.62 ,$22.55 ,0.05415
2023-04-14,$23.62 ,$22.59 ,0.04614
2023-04-21,$23.57 ,$22.52 ,0.04636
2023-04-28,$23.72 ,$22.75 ,0.039275
2023-05-05,$23.71 ,$22.97 ,0.03104
2023-05-12,$23.96 ,$23.12 ,0.03278
2023-05-19,$24.68 ,$23.46 ,0.04866
2023-05-26,$25.23 ,$23.83 ,0.03166
2023-06-02,$24.91 ,$24.17 ,0.037675
2023-06-09,$25.56 ,$24.23 ,0.054580000000000004
2023-06-16,$25.32 ,$24.08 ,0.05255
2023-06-23,$24.58 ,$23.93 ,0.032
2023-06-30,$24.93 ,$24.27 ,0.024460000000000003
2023-07-07,$24.65 ,$24.12 ,0.025500000000000002
2023-07-14,$24.94 ,$24.64 ,0.01956
2023-07-21,$24.60 ,$24.39 ,0.0098
2023-07-28,$24.79 ,$24.91 ,-0.0003599999999999999
2023-08-04,$23.83 ,$24.43 ,-0.0128
2023-08-11,$23.62 ,$24.20 ,-0.02346
2023-08-18,$22.98 ,$23.67 ,-0.02626
2023-08-25,$23.05 ,$24.01 ,-0.03758
2023-09-01,$23.42 ,$24.47 ,-0.0415
2023-09-08,$23.08 ,$24.27 ,-0.04675
2023-09-15,$22.31 ,$23.69 ,-0.05772000000000001
2023-09-22,$21.73 ,$22.97 ,-0.056679999999999994
2023-09-29,$22.47 ,$22.96 ,-0.03908
2023-10-06,$22.23 ,$23.37 ,-0.03568
2023-10-13,$22.18 ,$23.39 ,-0.05058
2023-10-20,$20.87 ,$22.72 ,-0.0696
2023-10-27,$20.38 ,$22.13 ,-0.08860000000000001
2023-11-03,$22.07 ,$23.42 ,-0.064625
2023-11-10,$22.12 ,$23.85 ,-0.06866
2023-11-17,$22.92 ,$24.12 ,-0.06122
2023-11-24,$23.10 ,$24.24 ,-0.049575
2023-12-01,$22.99 ,$24.22 ,-0.04894
2023-12-08,$23.15 ,$24.45 ,-0.05114
2023-12-15,$23.09 ,$24.38 ,-0.050519999999999995
2023-12-22,$22.74 ,$24.60 ,-0.06754
2023-12-29,$23.12 ,$24.68 ,-0.0688
2024-01-05,$22.45 ,$24.13 ,-0.067975
2024-01-12,$23.17 ,$24.77 ,-0.04888
2024-01-19,$23.20 ,$25.28 ,-0.07515
2024-01-26,$23.32 ,$25.38 ,-0.0827
2024-02-02,$23.20 ,$25.62 ,-0.08798
2024-02-09,$23.76 ,$26.00 ,-0.0878
2024-02-16,$23.74 ,$25.76 ,-0.08092
2024-02-23,$23.88 ,$26.07 ,-0.08495
2024-03-01,$24.21 ,$26.38 ,-0.08499999999999999
2024-03-08,$23.98 ,$26.18 ,-0.08412
2024-03-15,$23.19 ,$25.72 ,-0.09214
2024-03-22,$23.85 ,$26.38 ,-0.09902
2024-03-29,$23.94 ,$26.35 ,-0.09423333333333334
2024-04-05,$23.83 ,$26.20 ,-0.08793999999999999
2024-04-12,$23.45 ,$26.18 ,-0.09872
2024-04-19,$22.43 ,$24.95 ,-0.10194
2024-04-26,$23.00 ,$25.81 ,-0.10413999999999998
2024-05-03,$23.42 ,$26.08 ,-0.10384
2024-05-10,$23.64 ,$26.31 ,-0.09966
2024-05-17,$23.85 ,$26.61 ,-0.10232
2024-05-24,$24.04 ,$26.85 ,-0.10369999999999999
2024-05-31,$23.99 ,$26.66 ,-0.103675
2024-06-07,$24.74 ,$27.15 ,-0.09432
2024-06-14,$24.66 ,$27.37 ,-0.09728
2024-06-21,$24.42 ,$27.41 ,-0.11025
2024-06-28,$24.73 ,$27.63 ,-0.108825
2024-07-05,$25.63 ,$28.30 ,-0.092975
2024-07-12,$25.67 ,$28.32 ,-0.09596
2024-07-19,$24.58 ,$27.38 ,-0.09830000000000001
2024-07-26,$24.16 ,$26.92 ,-0.097
2024-08-02,$23.83 ,$26.15 ,-0.09616
2024-08-09,$23.83 ,$26.16 ,-0.08626
2024-08-16,$24.67 ,$27.40 ,-0.09648000000000001
2024-08-23,$24.74 ,$27.71 ,-0.10764
2024-08-30,$24.73 ,$27.67 ,-0.10504
2024-09-06,$23.85 ,$26.31 ,-0.09985000000000001
2024-09-13,$24.59 ,$27.32 ,-0.097
2024-09-20,$24.94 ,$27.81 ,-0.09992
2024-09-27,$24.80 ,$28.06 ,-0.10954
2024-10-04,$25.03 ,$28.12 ,-0.10389999999999999
2024-10-11,$25.24 ,$28.27 ,-0.10666
2024-10-18,$25.33 ,$28.44 ,-0.10922000000000001
2024-10-25,$25.45 ,$28.49 ,-0.10828
2024-11-01,$25.15 ,$28.01 ,-0.10617499999999999
