Date,Adj Close,Close,High,Low,Open,Volume,Share Turnover,Weighted ST
28/10/2022,1.320000052,1.320000052,1.539000034,1.120000005,1.200000048,1451200,0.005791133,4.750184098475368e-05
04/11/2022,1.110000014,1.110000014,1.389999986,1.100000024,1.299999952,578400,0.002308153,5.704639586234539e-06
11/11/2022,1.090000033,1.090000033,1.169999957,0.910000026,1.169999957,610000,0.002434255,4.146942078364566e-06
18/11/2022,0.978999972,0.978999972,1.120000005,0.949999988,1.100000024,494900,0.001974939,4.8506551484381984e-06
25/11/2022,0.981000006,0.981000006,1.00999999,0.959999979,1.0,239300,0.000954946,1.8922175964414297e-06
02/12/2022,0.953999996,0.953999996,1.029999971,0.850000024,0.98299998,383600,0.001530787,3.2481495384795797e-06
09/12/2022,0.959999979,0.959999979,1.0,0.870000005,0.939999998,209100,0.000834431,9.295515524800095e-07
16/12/2022,0.819999993,0.819999993,1.019999981,0.800000012,0.930000007,431000,0.001719941,3.871879549348153e-06
23/12/2022,0.73299998,0.73299998,0.839999974,0.699999988,0.779999971,419900,0.001675645,3.7205504204635643e-06
30/12/2022,0.674000025,0.674000025,0.757000029,0.579999983,0.75,590000,0.002354444,8.591027895197424e-06
06/01/2023,0.75999999,0.75999999,0.836000025,0.674000025,0.716000021,191700,0.000764995,9.623203739576199e-07
13/01/2023,2.390000105,2.390000105,3.849999905,0.700999975,0.769999981,123705400,0.49365657,0.19864694245189232
20/01/2023,1.950000048,1.950000048,2.089999914,1.75,2.049999952,8629000,0.034434734,0.0019079185026615044
27/01/2023,2.420000076,2.420000076,2.890000105,1.860000014,1.899999976,19869300,0.079290075,0.0067097802538508755
03/02/2023,5.190000057,5.190000057,5.900000095,2.549999952,3.019999981,153418400,0.61222874,0.14171587124756294
10/02/2023,4.820000172,4.820000172,6.769999981,4.53000021,5.777999878,78329000,0.312578315,0.042884879378807216
17/02/2023,3.910000086,3.910000086,5.03000021,3.690000057,4.96999979,36421000,0.145340995,0.0067626328375973484
24/02/2023,3.150000095,3.150000095,4.0,3.150000095,3.829999924,10449800,0.041700786,0.0013808454939480944
03/03/2023,3.180000067,3.180000067,3.480000019,2.450000048,3.200000048,27212900,0.108595315,0.008277212875316922
10/03/2023,2.170000076,2.170000076,3.789999962,2.0,3.220000029,34938400,0.139424558,0.013790168893213526
17/03/2023,1.769999981,1.769999981,2.380000114,1.610000014,2.119999886,23368300,0.093253123,0.006869981157709316
24/03/2023,1.879999995,1.879999995,2.180000067,1.50999999,1.799999952,44476500,0.17748713,0.027845349920051388
31/03/2023,2.440000057,2.440000057,2.529999971,1.850000024,1.929999948,48349700,0.192943453,0.032249433207351706
07/04/2023,2.50999999,2.50999999,3.180000067,2.019999981,2.5,95291100,0.38026697,0.07079337819414071
14/04/2023,3.210000038,3.210000038,3.549999952,2.299999952,2.519999981,81701300,0.326035756,0.07201358736056639
21/04/2023,2.809999943,2.809999943,3.74000001,2.75,3.170000076,55342400,0.220848398,0.049691075861006406
28/04/2023,2.900000095,2.900000095,3.079999924,2.359999895,2.75,33054200,0.131905503,0.01986637169837867
05/05/2023,2.74000001,2.74000001,3.079999924,2.390000105,2.880000114,22787200,0.090934195,0.008114204207299643
12/05/2023,2.380000114,2.380000114,3.25,2.309999943,2.789999962,33476600,0.133591125,0.00629008650802313
19/05/2023,2.210000038,2.210000038,2.589999914,2.200000048,2.5,40303500,0.160834431,0.008921690163029393
26/05/2023,2.349999905,2.349999905,2.680000067,2.213999987,2.24000001,37998700,0.151636937,0.0067753167539118826
02/06/2023,2.019999981,2.019999981,2.5,1.940000057,2.410000086,30787500,0.12286005,0.003991467181663254
09/06/2023,2.039999962,2.039999962,2.269999981,1.940000057,2.109999895,21881400,0.087319526,0.0021325832666807447
16/06/2023,2.50999999,2.50999999,2.700000048,2.019999981,2.049999952,44129600,0.176102797,0.009813160477985076
23/06/2023,2.339999914,2.339999914,2.670000076,2.130000114,2.539999962,31986800,0.127645956,0.007327506719382786
30/06/2023,2.349999905,2.349999905,2.589999914,2.230000019,2.299999952,27327100,0.10905104,0.0066153607392389485
07/07/2023,2.109999895,2.109999895,2.430000067,2.079999924,2.394999981,16915300,0.067501896,0.003638770283088702
14/07/2023,2.029999971,2.029999971,2.180000067,1.980000019,2.130000114,22252700,0.088801229,0.004321324879704175
21/07/2023,1.960000038,1.960000038,2.230000019,1.860000014,2.029999971,22482000,0.08971627,0.003792753648741576
28/07/2023,1.870000005,1.870000005,1.970000029,1.74000001,1.950000048,14679200,0.058578555,0.0021209289726761105
04/08/2023,2.00999999,2.00999999,2.210000038,1.879999995,1.879999995,17638400,0.070387486,0.0019698200714618336
11/08/2023,1.700000048,1.700000048,2.049999952,1.50999999,2.049999952,16637800,0.066394509,0.0017112351079862855
18/08/2023,1.419999957,1.419999957,1.75999999,1.340000033,1.700000048,11653500,0.04650425,0.0014177731828165885
25/08/2023,1.309999943,1.309999943,1.460000038,1.269999981,1.440000057,11069600,0.044174149,0.001229633712080879
01/09/2023,1.720000029,1.720000029,1.789999962,1.320000052,1.330000043,24859500,0.099203879,0.006293902836158516
08/09/2023,1.690000057,1.690000057,1.809999943,1.559999943,1.789999962,11006200,0.043921146,0.0015857785165123988
15/09/2023,1.659999967,1.659999967,1.799999952,1.580000043,1.74000001,14108900,0.056302726,0.0023832718467056992
22/09/2023,1.419999957,1.419999957,1.649999976,1.399999976,1.639999986,7443400,0.0297035,0.0007222127446138248
